recipe_id,engine,kit,n_mic,n_sample,audio_duration_s,wall_clock_s,audio_bytes,target_bytes
R-MINI-00-DRUMGIZMO,drumgizmo,DRSKit,8,445296,10.097415,1.994913,7124736,173950
R-MINI-02-DRUMGIZMO,drumgizmo,DRSKit,8,411504,9.331156,1.115722,6584064,160750
R-MINI-04-DRUMGIZMO,drumgizmo,DRSKit,8,385904,8.750658,0.796314,6174464,150750
R-MINI-06-DRUMGIZMO,drumgizmo,DRSKit,8,367472,8.332698,0.793592,5879552,143550
R-MINI-08-DRUMGIZMO,drumgizmo,DRSKit,8,352112,7.984399,0.797108,5633792,137550
R-MINI-10-DRUMGIZMO,drumgizmo,DRSKit,8,339824,7.705760,0.793685,5437184,132750
